Sample Time, Facility, Species, Adipose Clip, LAD Race, DNA Race, CWT Race, CWT tagcode, CWT Hatch, CWT Release Type, CWT Release Start, CWT Release End, CWT Release Span Days, CWT Release Location, CWT Release Information Source, Days from Release End to Sample Time, Count Duration (minutes), Pumping Duration (minutes), Sample Fraction, Study Type, Length, nfish, Expanded Salvage, Loss, DNA Sample ID, Genetic Probability, Length Row ID,14-day OMRI
2/7/1993 8:00,CVP,Chinook Salmon,Clipped,Winter,,LateFall,053122,CNFH,Experimental,1/4/1993,1/4/1993,1,COLEMAN NFH,RMIS,34,10,120,0.08,Normal count,130,1,12,9,,,423901,
2/8/1993 5:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,10,120,0.08,Normal count,176,1,12,53.35,,,700589,
2/8/1993 15:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,20,120,0.17,Normal count,109,1,6,25.78,,,773607,
2/9/1993 1:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,10,60,0.17,Normal count,109,1,6,25.89,,,384107,
2/9/1993 5:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,10,120,0.08,Normal count,144,1,12,50.9,,,1083111,
2/9/1993 6:00,CVP,Chinook Salmon,Clipped,Winter,,LateFall,052859,CNFH,Experimental,1/4/1993,1/4/1993,1,COLEMAN NFH,RMIS,36,10,120,0.08,Normal count,168,1,12,5.92,,,372274,
2/9/1993 6:00,CVP,Chinook Salmon,Clipped,Winter,,LateFall,052859,CNFH,Experimental,1/4/1993,1/4/1993,1,COLEMAN NFH,RMIS,36,10,120,0.08,Normal count,168,1,12,5.92,,,372274,
2/9/1993 8:00,CVP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,10,120,0.08,Normal count,121,1,12,5.92,,,253560,
2/9/1993 9:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,15,60,0.25,Normal count,163,1,4,17.46,,,296457,
2/10/1993 0:00,CVP,Chinook Salmon,Clipped,Winter,,LateFall,053122,CNFH,Experimental,1/4/1993,1/4/1993,1,COLEMAN NFH,RMIS,37,10,120,0.08,Normal count,168,1,12,5.92,,,469510,
2/10/1993 1:00,SWP,Chinook Salmon,Clipped,Winter,,,,,,,,,,,,10,180,0.06,Normal count,162,1,18,77.45,,,789434,
2/10/1993 3:00,SWP,Chinook Salmon,Unclipped,Fall,,,,,,,,,,,,10,120,0.08,Normal count,38,1,12,48.68,,,370990,
2/10/1993 5:00,SWP,Chinook Salmon,Clipped,Winter,,LateFall,053122,CNFH,Experimental,1/4/1993,1/4/1993,1,COLEMAN NFH,RMIS,37,10,120,0.08,Normal count,152,1,12,50.74,,,499107,
2/10/1993 13:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,20,120,0.17,Normal count,148,1,6,26.81,,,311638,
2/10/1993 20:00,CVP,Chinook Salmon,Clipped,Winter,,LateFall,052859,CNFH,Experimental,1/4/1993,1/4/1993,1,COLEMAN NFH,RMIS,37,10,120,0.08,Normal count,166,1,12,6.18,,,38259,
2/11/1993 7:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,10,120,0.08,Normal count,132,1,12,49.86,,,939288,
2/11/1993 11:00,SWP,Chinook Salmon,Clipped,Winter,,LateFall,053122,CNFH,Experimental,1/4/1993,1/4/1993,1,COLEMAN NFH,RMIS,38,20,120,0.17,Normal count,148,1,6,26.64,,,691070,
2/11/1993 17:00,SWP,Chinook Salmon,Clipped,Winter,,LateFall,053122,CNFH,Experimental,1/4/1993,1/4/1993,1,COLEMAN NFH,RMIS,38,15,120,0.12,Normal count,163,1,8,35.43,,,1166120,
